1,Cotton
2,Wollen
3,Rayon
4,Polyester
5,Denim
6,Silk
7,Chiffon
8,Linen
9,Satin
10,Woolen
11,Leather
12,Crepe
13,Synthetics
14,Velvet
15,Georgette
